File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
FS01_20230128_113600_9.pt,Rain,,Rain,
FS01_20230130_113600_1.pt,Wind,Rain,Wind,Rain
FS01_20230201_120600_7.pt,Wind,,Wind,
FS01_20230201_120600_8.pt,Wind,Rain,Wind,Rain
FS01_20230212_033300_1.pt,"Frog, Insect","Frog, Insect, Owl, Rain",,"Owl, Rain"
FS01_20230212_033300_10.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_2.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_3.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_4.pt,"Frog, Insect","Frog, Insect, Owl, Rain",,"Owl, Rain"
FS01_20230212_033300_5.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_6.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_7.pt,"Frog, Insect","Frog, Insect, Owl, Rain",,"Owl, Rain"
FS01_20230212_033300_8.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_9.pt,"Frog, Insect","Frog, Insect, Owl, Rain",,"Owl, Rain"
FS01_20230213_061800_1.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_10.pt,"Bird, Rain, Wind",,"Bird, Rain, Wind",
FS01_20230213_061800_2.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_3.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_4.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_5.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_6.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_7.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230213_061800_8.pt,"Bird, Rain, Wind",Bird,"Rain, Wind",
FS01_20230213_061800_9.pt,"Bird, Rain, Wind","Bird, Rain",Wind,
FS01_20230216_125700_10.pt,Wind,"Bird, Wind",,Bird
FS01_20230216_125700_9.pt,Wind,"Bird, Wind",,Bird
FS01_20230219_000000_7.pt,Frog,Owl,Frog,Owl
FS01_20230219_000000_8.pt,Frog,Owl,Frog,Owl
FS01_20230219_070000_1.pt,"Bird, Rain",Bird,Rain,
FS01_20230219_070000_10.pt,"Bird, Rain",Rain,Bird,
FS01_20230219_070000_2.pt,"Bird, Rain",Bird,Rain,
FS01_20230219_070000_3.pt,"Bird, Rain",,"Bird, Rain",
FS01_20230219_070000_5.pt,"Bird, Rain",Bird,Rain,
FS01_20230219_070000_6.pt,"Bird, Rain",Bird,Rain,
FS01_20230219_070000_7.pt,"Bird, Rain",Bird,Rain,
FS01_20230219_070000_9.pt,"Bird, Rain",Bird,Rain,
FS01_20230305_221500_1.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_10.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_2.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_3.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_4.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_5.pt,"Insect, Owl",Frog,"Insect, Owl",Frog
FS01_20230305_221500_6.pt,"Insect, Owl",Owl,Insect,
FS01_20230305_221500_7.pt,"Insect, Owl","Frog, Owl",Insect,Frog
FS01_20230305_221500_8.pt,"Insect, Owl","Frog, Owl",Insect,Frog
FS01_20230305_221500_9.pt,"Insect, Owl",Owl,Insect,
FS01_20230307_120000_1.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_10.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_2.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_3.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_4.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_5.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_6.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_7.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_8.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_120000_9.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_10.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_2.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_3.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_4.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_5.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_6.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_7.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_8.pt,"Bird, Wind",Wind,Bird,
FS01_20230307_140000_9.pt,"Bird, Wind",Wind,Bird,
FS01_20230322_090000_1.pt,Bird,Wind,Bird,Wind
FS01_20230322_090000_10.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_2.pt,Bird,"Insect, Rain, Wind",Bird,"Insect, Rain, Wind"
FS01_20230322_090000_3.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_4.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_5.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_6.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_7.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_090000_8.pt,Bird,Wind,Bird,Wind
FS01_20230322_090000_9.pt,Bird,"Bird, Wind",,Wind
FS01_20230322_200000_1.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_10.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_2.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_3.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_4.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_5.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_6.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_7.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_8.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230322_200000_9.pt,"Frog, Insect, Owl","Frog, Insect",Owl,
FS01_20230325_153900_1.pt,"Bird, Speech, Wind",Bird,"Speech, Wind",
FS01_20230325_153900_10.pt,"Bird, Speech, Wind","Bird, Rain","Speech, Wind",Rain
FS01_20230325_153900_2.pt,"Bird, Speech, Wind","Bird, Wind",Speech,
FS01_20230325_153900_4.pt,"Bird, Speech, Wind","Bird, Wind",Speech,
FS01_20230325_153900_5.pt,"Bird, Speech, Wind",Bird,"Speech, Wind",
FS01_20230325_153900_6.pt,"Bird, Speech, Wind",Bird,"Speech, Wind",
FS01_20230325_153900_7.pt,"Bird, Speech, Wind","Bird, Rain","Speech, Wind",Rain
FS01_20230325_153900_8.pt,"Bird, Speech, Wind","Bird, Wind",Speech,
FS01_20230325_153900_9.pt,"Bird, Speech, Wind","Bird, Rain","Speech, Wind",Rain
FS01_20230330_224500_1.pt,"Frog, Insect","Frog, Wind",Insect,Wind
FS01_20230330_224500_10.pt,"Frog, Insect",Frog,Insect,
FS01_20230330_224500_2.pt,"Frog, Insect","Frog, Rain",Insect,Rain
FS01_20230330_224500_3.pt,"Frog, Insect","Frog, Rain",Insect,Rain
FS01_20230330_224500_4.pt,"Frog, Insect","Frog, Wind",Insect,Wind
FS01_20230330_224500_5.pt,"Frog, Insect",Frog,Insect,
FS01_20230330_224500_6.pt,"Frog, Insect",Frog,Insect,
FS01_20230330_224500_7.pt,"Frog, Insect",Frog,Insect,
FS01_20230330_224500_8.pt,"Frog, Insect",Frog,Insect,
FS01_20230330_224500_9.pt,"Frog, Insect",Frog,Insect,
FS01_20230402_052100_1.pt,"Frog, Owl","Frog, Owl, Rain",,Rain
FS01_20230402_052100_10.pt,"Frog, Owl","Frog, Rain",Owl,Rain
FS01_20230402_052100_2.pt,"Frog, Owl","Frog, Rain",Owl,Rain
